,date,location,d_pm10,d_pm25,status
126,2015-05-06,모현동,56.33333333,NA,case_1
127,2015-05-07,모현동,64.41666667,NA,case_1
128,2015-05-08,모현동,63.66666667,NA,case_1
129,2015-05-09,모현동,57.5,NA,case_1
130,2015-05-10,모현동,61.625,NA,case_1
131,2015-05-11,모현동,46.95652174,NA,case_1
132,2015-05-12,모현동,48.13043478,NA,case_1
133,2015-05-13,모현동,74.45833333,NA,case_1
134,2015-05-14,모현동,56.58333333,NA,case_1
135,2015-05-15,모현동,97.57142857,NA,case_1
136,2015-05-16,모현동,89.83333333,NA,case_1
137,2015-05-17,모현동,67.45833333,NA,case_1
138,2015-05-18,모현동,47.04166667,NA,case_1
139,2015-05-19,모현동,51.54166667,NA,case_1
140,2015-05-20,모현동,48.875,NA,case_1
141,2015-05-21,모현동,46.08333333,NA,case_1
142,2015-05-22,모현동,57.04166667,NA,case_1
143,2015-05-23,모현동,63.25,NA,case_1
144,2015-05-24,모현동,51.20833333,NA,case_1
145,2015-05-25,모현동,46.625,NA,case_1
146,2015-05-26,모현동,55.5,NA,case_1
147,2015-05-27,모현동,52.58333333,NA,case_1
148,2015-05-28,모현동,54.83333333,NA,case_1
149,2015-05-29,모현동,48.08333333,NA,case_1
150,2015-05-30,모현동,46.25,NA,case_1
151,2015-05-31,모현동,57.16666667,NA,case_1
152,2015-06-01,모현동,50.625,NA,case_1
153,2015-06-02,모현동,62.83333333,NA,case_1
154,2015-06-03,모현동,53.95833333,NA,case_1
155,2015-06-04,모현동,55.375,NA,case_1
156,2015-06-05,모현동,34.66666667,NA,case_1
157,2015-06-06,모현동,39.75,NA,case_1
158,2015-06-07,모현동,41.58333333,NA,case_1
159,2015-06-08,모현동,55.5,NA,case_1
160,2015-06-09,모현동,46.91666667,NA,case_1
161,2015-06-10,모현동,61.125,NA,case_1
162,2015-06-11,모현동,49.66666667,NA,case_1
163,2015-06-12,모현동,88.91666667,NA,case_1
164,2015-06-13,모현동,105.875,NA,case_1
165,2015-06-14,모현동,55.7,NA,case_1
166,2015-06-15,모현동,63.90909091,NA,case_1
167,2015-06-16,모현동,58.08333333,NA,case_1
168,2015-06-17,모현동,70.375,NA,case_1
169,2015-06-18,모현동,46.375,NA,case_1
170,2015-06-19,모현동,57.5,NA,case_1
171,2015-06-20,모현동,40.66666667,NA,case_1
172,2015-06-21,모현동,30.58333333,NA,case_1
