,date,location,d_pm10,d_pm25,area
120,2015-04-30,강남구,32.52380952,17.85714286,동남
121,2015-05-01,강남구,43.08333333,25.5,동남
122,2015-05-02,강남구,36.83333333,22.875,동남
123,2015-05-03,강남구,26.20833333,17.125,동남
124,2015-05-04,강남구,51.5,15.5,동남
125,2015-05-05,강남구,39.70833333,11.70833333,동남
126,2015-05-06,강남구,47.70833333,14.45833333,동남
127,2015-05-07,강남구,45.5,17.54166667,동남
128,2015-05-08,강남구,53.375,25.375,동남
129,2015-05-09,강남구,40.29166667,20.375,동남
130,2015-05-10,강남구,41.58333333,18.375,동남
131,2015-05-11,강남구,44.45833333,20.04166667,동남
132,2015-05-12,강남구,35.25,14.91666667,동남
133,2015-05-13,강남구,68.41666667,19.5,동남
134,2015-05-14,강남구,58.04166667,26.75,동남
135,2015-05-15,강남구,102.7083333,47.95833333,동남
136,2015-05-16,강남구,54.58333333,24.79166667,동남
137,2015-05-17,강남구,54.75,28.66666667,동남
138,2015-05-18,강남구,43.54166667,21.75,동남
139,2015-05-19,강남구,51.04166667,28.66666667,동남
140,2015-05-20,강남구,43.33333333,15.41666667,동남
141,2015-05-21,강남구,43.875,19.875,동남
142,2015-05-22,강남구,49.95833333,24.79166667,동남
143,2015-05-23,강남구,45.95833333,21.54166667,동남
144,2015-05-24,강남구,31.5,15.45833333,동남
145,2015-05-25,강남구,40.54166667,21.79166667,동남
146,2015-05-26,강남구,37.83333333,20.08333333,동남
147,2015-05-27,강남구,35.95833333,18.58333333,동남
148,2015-05-28,강남구,44.625,22.29166667,동남
149,2015-05-29,강남구,48.70833333,25.16666667,동남
150,2015-05-30,강남구,39.75,23.47826087,동남
151,2015-05-31,강남구,35.66666667,19.75,동남
152,2015-06-01,강남구,35.41666667,19.45833333,동남
153,2015-06-02,강남구,36.5,20.70833333,동남
154,2015-06-03,강남구,41.66666667,13.5,동남
155,2015-06-04,강남구,39.875,17.91666667,동남
156,2015-06-05,강남구,32.56521739,18.86956522,동남
157,2015-06-06,강남구,29.125,17.95833333,동남
158,2015-06-07,강남구,29.66666667,17.91666667,동남
159,2015-06-08,강남구,36,22.125,동남
160,2015-06-09,강남구,42.75,27.125,동남
161,2015-06-10,강남구,49.29166667,28.375,동남
162,2015-06-11,강남구,39.125,25,동남
163,2015-06-12,강남구,42.54166667,25.625,동남
164,2015-06-13,강남구,75,35.375,동남
165,2015-06-14,강남구,30.95833333,18.47826087,동남
166,2015-06-15,강남구,36.66666667,23.875,동남
167,2015-06-16,강남구,47.16666667,29.45833333,동남
168,2015-06-17,강남구,42.08333333,28.83333333,동남
169,2015-06-18,강남구,25.625,16.125,동남
170,2015-06-19,강남구,22.04166667,14,동남
171,2015-06-20,강남구,36.91666667,24.29166667,동남
172,2015-06-21,강남구,19.875,12.5,동남
173,2015-06-22,강남구,29.58333333,19.69565217,동남
174,2015-06-23,강남구,33.54166667,23.79166667,동남
175,2015-06-24,강남구,41.58333333,28.08333333,동남
176,2015-06-25,강남구,37.20833333,25.95833333,동남
177,2015-06-26,강남구,13.52173913,7.80952381,동남
178,2015-06-27,강남구,10.95833333,7.217391304,동남
179,2015-06-28,강남구,23,14.18181818,동남
180,2015-06-29,강남구,24.66666667,16.25,동남
181,2015-06-30,강남구,29.45833333,19.58333333,동남
182,2015-07-01,강남구,31.5,18.7826087,동남
183,2015-07-02,강남구,47.16666667,30.33333333,동남
184,2015-07-03,강남구,42.20833333,24.16666667,동남
185,2015-07-04,강남구,32.20833333,19.375,동남
186,2015-07-05,강남구,34.45833333,20.625,동남
187,2015-07-06,강남구,31.5,18.5,동남
188,2015-07-07,강남구,33.91666667,19.91666667,동남
189,2015-07-08,강남구,10.30434783,4.782608696,동남
190,2015-07-09,강남구,12.14285714,5.826086957,동남
191,2015-07-10,강남구,17.58333333,10.08333333,동남
192,2015-07-11,강남구,26.95652174,16.83333333,동남
193,2015-07-12,강남구,10.14285714,5.695652174,동남
194,2015-07-13,강남구,31.95238095,17.43478261,동남
195,2015-07-14,강남구,66.75,38.95833333,동남
196,2015-07-15,강남구,47.91666667,27.5,동남
197,2015-07-16,강남구,11.08695652,4.285714286,동남
198,2015-07-17,강남구,11,4.869565217,동남
199,2015-07-18,강남구,29.75,18.47826087,동남
200,2015-07-19,강남구,23.2173913,15.5,동남
201,2015-07-20,강남구,22.58333333,13.69565217,동남
202,2015-07-21,강남구,29.58333333,17.95833333,동남
203,2015-07-22,강남구,28.91304348,17.52173913,동남
204,2015-07-23,강남구,22.54166667,15.08333333,동남
205,2015-07-24,강남구,14.25,8.652173913,동남
206,2015-07-25,강남구,17.375,10.30434783,동남
207,2015-07-26,강남구,18.04347826,9.708333333,동남
208,2015-07-27,강남구,25.66666667,15.70833333,동남
209,2015-07-28,강남구,36.58333333,24.33333333,동남
210,2015-07-29,강남구,38.43478261,27.95833333,동남
211,2015-07-30,강남구,70.75,46.91666667,동남
212,2015-07-31,강남구,60.5,39.66666667,동남
213,2015-08-01,강남구,48.41666667,31.875,동남
214,2015-08-02,강남구,30.875,20.5,동남
215,2015-08-03,강남구,27.16666667,16.33333333,동남
216,2015-08-04,강남구,20.8,13.38095238,동남
217,2015-08-05,강남구,27.29166667,18.61904762,동남
218,2015-08-06,강남구,31.625,22.125,동남
219,2015-08-07,강남구,38.20833333,26.66666667,동남
220,2015-08-08,강남구,32.875,22.17391304,동남
221,2015-08-09,강남구,19.875,12.04166667,동남
222,2015-08-10,강남구,28.41666667,16.875,동남
223,2015-08-11,강남구,53.125,33.29166667,동남
224,2015-08-12,강남구,44.83333333,27.70833333,동남
225,2015-08-13,강남구,37.41666667,22.20833333,동남
226,2015-08-14,강남구,39.33333333,23.54166667,동남
227,2015-08-15,강남구,61.33333333,41.79166667,동남
228,2015-08-16,강남구,68.56521739,43.33333333,동남
229,2015-08-17,강남구,22.41666667,15.625,동남
230,2015-08-18,강남구,21.17391304,13.04347826,동남
231,2015-08-19,강남구,32.375,19.875,동남
232,2015-08-20,강남구,31.70833333,20.75,동남
233,2015-08-21,강남구,26.16666667,17.83333333,동남
234,2015-08-22,강남구,34.66666667,23.13043478,동남
235,2015-08-23,강남구,35.20833333,23.25,동남
236,2015-08-24,강남구,28.375,18.52173913,동남
237,2015-08-25,강남구,7.217391304,2.952380952,동남
238,2015-08-26,강남구,9.347826087,5.15,동남
239,2015-08-27,강남구,20.625,11.04166667,동남
240,2015-08-28,강남구,28.52173913,16.60869565,동남
241,2015-08-29,강남구,30.70833333,20.08333333,동남
242,2015-08-30,강남구,31.5,21.83333333,동남
243,2015-08-31,강남구,31.625,22.20833333,동남
244,2015-09-01,강남구,23.39130435,16.66666667,동남
245,2015-09-02,강남구,24.65217391,15.79166667,동남
246,2015-09-03,강남구,24.5,14.125,동남
247,2015-09-04,강남구,34.81818182,19.36363636,동남
248,2015-09-05,강남구,31.25,20.375,동남
249,2015-09-06,강남구,12.45833333,7.409090909,동남
250,2015-09-07,강남구,12.54166667,6.739130435,동남
251,2015-09-08,강남구,12.08333333,6.681818182,동남
252,2015-09-09,강남구,16.04166667,8,동남
253,2015-09-10,강남구,28.83333333,13.29166667,동남
254,2015-09-11,강남구,39.5,23.66666667,동남
255,2015-09-12,강남구,21.75,11.08333333,동남
256,2015-09-13,강남구,21.375,9.875,동남
257,2015-09-14,강남구,29.75,16.625,동남
258,2015-09-15,강남구,25.66666667,14.41666667,동남
259,2015-09-16,강남구,16.08333333,7.125,동남
260,2015-09-17,강남구,11.69565217,5.7,동남
261,2015-09-18,강남구,16.95833333,8.916666667,동남
262,2015-09-19,강남구,30.79166667,15.16666667,동남
263,2015-09-20,강남구,46.75,30.25,동남
264,2015-09-21,강남구,45.5,30.08333333,동남
265,2015-09-22,강남구,40.41666667,25.41666667,동남
266,2015-09-23,강남구,41.41666667,24.08333333,동남
267,2015-09-24,강남구,34.54166667,21.08333333,동남
268,2015-09-25,강남구,34.41666667,22.54166667,동남
269,2015-09-26,강남구,45.08333333,27.20833333,동남
270,2015-09-27,강남구,34.29166667,16.375,동남
271,2015-09-28,강남구,28.95833333,12.83333333,동남
272,2015-09-29,강남구,24.83333333,9.708333333,동남
273,2015-09-30,강남구,17.29166667,7.208333333,동남
274,2015-10-01,강남구,15.875,7.958333333,동남
275,2015-10-02,강남구,32.2173913,8.708333333,동남
276,2015-10-03,강남구,38.20833333,14.29166667,동남
277,2015-10-04,강남구,27.66666667,11.33333333,동남
278,2015-10-05,강남구,29.16666667,13.91666667,동남
279,2015-10-06,강남구,30.82608696,16.27272727,동남
280,2015-10-07,강남구,43.625,21.54166667,동남
281,2015-10-08,강남구,51.91666667,26.875,동남
282,2015-10-09,강남구,32.66666667,9.458333333,동남
283,2015-10-10,강남구,23.25,10.625,동남
284,2015-10-11,강남구,15.625,8.708333333,동남
285,2015-10-12,강남구,17.58333333,8.791666667,동남
286,2015-10-13,강남구,28.83333333,13.41666667,동남
287,2015-10-14,강남구,45.33333333,24.83333333,동남
288,2015-10-15,강남구,55.625,35.125,동남
289,2015-10-16,강남구,64.16666667,38.04166667,동남
290,2015-10-17,강남구,59.08333333,33.45833333,동남
291,2015-10-18,강남구,73.16666667,44.29166667,동남
292,2015-10-19,강남구,96.79166667,63.45833333,동남
293,2015-10-20,강남구,94.47619048,58.09090909,동남
294,2015-10-21,강남구,115.9166667,67.58333333,동남
295,2015-10-22,강남구,83.75,48.95652174,동남
296,2015-10-23,강남구,49.71428571,27.73913043,동남
297,2015-10-24,강남구,32.70833333,19.66666667,동남
298,2015-10-25,강남구,28.41666667,14,동남
299,2015-10-26,강남구,30.91666667,15.41666667,동남
300,2015-10-27,강남구,35.83333333,12.29166667,동남
301,2015-10-28,강남구,32.7826087,11.375,동남
302,2015-10-29,강남구,21.69565217,11.54166667,동남
303,2015-10-30,강남구,29,8.375,동남
304,2015-10-31,강남구,30.04166667,13.875,동남
305,2015-11-01,강남구,40.16666667,22,동남
306,2015-11-02,강남구,50.70833333,27.625,동남
307,2015-11-03,강남구,68.23809524,39.27272727,동남
308,2015-11-04,강남구,83.33333333,54.54166667,동남
309,2015-11-05,강남구,75,49.17391304,동남
310,2015-11-06,강남구,49.58333333,29.95833333,동남
311,2015-11-07,강남구,12,10.4,동남
312,2015-11-08,강남구,4.384615385,4.8,동남
313,2015-11-09,강남구,10.47826087,6.727272727,동남
314,2015-11-10,강남구,46.58333333,29.29166667,동남
315,2015-11-11,강남구,40.16666667,23.2173913,동남
316,2015-11-12,강남구,14.45833333,8.416666667,동남
317,2015-11-13,강남구,13.20833333,7.666666667,동남
318,2015-11-14,강남구,9.826086957,7.35,동남
319,2015-11-15,강남구,18.45833333,10.75,동남
320,2015-11-16,강남구,28.66666667,15.66666667,동남
321,2015-11-17,강남구,18,10.58333333,동남
322,2015-11-18,강남구,10.04347826,6.75,동남
323,2015-11-19,강남구,13.08333333,7.095238095,동남
324,2015-11-20,강남구,33.95833333,20.54166667,동남
325,2015-11-21,강남구,46.33333333,31,동남
326,2015-11-22,강남구,31.91666667,20.25,동남
327,2015-11-23,강남구,7,4.466666667,동남
328,2015-11-24,강남구,22.625,14.82608696,동남
329,2015-11-25,강남구,11.57142857,7.55,동남
330,2015-11-26,강남구,31.95833333,22.56521739,동남
331,2015-11-27,강남구,38.33333333,25.875,동남
332,2015-11-28,강남구,41.08333333,26.25,동남
333,2015-11-29,강남구,39,28.70833333,동남
334,2015-11-30,강남구,40.83333333,28.5,동남
335,2015-12-01,강남구,52,31.54166667,동남
336,2015-12-02,강남구,52.75,29.95833333,동남
337,2015-12-03,강남구,17.875,10.20833333,동남
338,2015-12-04,강남구,40.29166667,15.25,동남
339,2015-12-05,강남구,34.625,15.91666667,동남
340,2015-12-06,강남구,34.79166667,18.04166667,동남
341,2015-12-07,강남구,50.375,26.95833333,동남
342,2015-12-08,강남구,66.54166667,34.875,동남
343,2015-12-09,강남구,69.26086957,40.39130435,동남
344,2015-12-10,강남구,47.45833333,27.45833333,동남
345,2015-12-11,강남구,32.45833333,20.04166667,동남
346,2015-12-12,강남구,30.16666667,14.79166667,동남
347,2015-12-13,강남구,38.91666667,22.66666667,동남
348,2015-12-14,강남구,47.83333333,28.75,동남
349,2015-12-15,강남구,53.33333333,32.58333333,동남
350,2015-12-16,강남구,26.16666667,12.29166667,동남
351,2015-12-17,강남구,18.83333333,9.125,동남
352,2015-12-18,강남구,39.625,20.91666667,동남
353,2015-12-19,강남구,55.54166667,31.125,동남
354,2015-12-20,강남구,47.91666667,28.45833333,동남
355,2015-12-21,강남구,49.25,31.70833333,동남
356,2015-12-22,강남구,54.41666667,33.29166667,동남
357,2015-12-23,강남구,46.625,28.08333333,동남
358,2015-12-24,강남구,98.33333333,60.29166667,동남
359,2015-12-25,강남구,27.91666667,14.91666667,동남
360,2015-12-26,강남구,73.5,38.08333333,동남
361,2015-12-27,강남구,29,14.41666667,동남
362,2015-12-28,강남구,22.54166667,11.54166667,동남
363,2015-12-29,강남구,54.58333333,27.58333333,동남
364,2015-12-30,강남구,58.95454545,32,동남
365,2015-12-31,강남구,66.66666667,42.33333333,동남
366,2016-01-01,강남구,76,46.20833333,동남
367,2016-01-02,강남구,49.29166667,27.95833333,동남
368,2016-01-03,강남구,97.625,57.375,동남
369,2016-01-04,강남구,88.66666667,50.33333333,동남
370,2016-01-05,강남구,31.875,15.33333333,동남
371,2016-01-06,강남구,59.75,28.20833333,동남
372,2016-01-07,강남구,41.79166667,19.66666667,동남
373,2016-01-08,강남구,32.54166667,16,동남
374,2016-01-09,강남구,35.625,17.95833333,동남
375,2016-01-10,강남구,31,17.125,동남
376,2016-01-11,강남구,40.29166667,19.5,동남
377,2016-01-12,강남구,52.54166667,22.125,동남
378,2016-01-13,강남구,38.125,19.20833333,동남
379,2016-01-14,강남구,49.16666667,19.45833333,동남
380,2016-01-15,강남구,49.66666667,25.83333333,동남
381,2016-01-16,강남구,66.04166667,37.08333333,동남
382,2016-01-17,강남구,65.66666667,40.375,동남
383,2016-01-18,강남구,63,31.83333333,동남
